x,top
-4609.37638685,nan
-4584.37638685,nan
-4559.37638685,nan
-4534.37638685,nan
-4509.37638685,1800.0
-4484.37638685,1775.0
-4459.37638685,1675.0
-4434.37638685,1650.0
-4409.37638685,1650.0
-4384.37638685,1650.0
-4359.37638685,1650.0
-4334.37638685,1650.0
-4309.37638685,1675.0
-4284.37638685,1600.0
-4259.37638685,1600.0
-4234.37638685,1600.0
-4209.37638685,1575.0
-4184.37638685,1575.0
-4159.37638685,1550.0
-4134.37638685,1550.0
-4109.37638685,1550.0
-4084.37638685,1550.0
-4059.37638685,1525.0
-4034.37638685,1525.0
-4009.37638685,1700.0
-3984.37638685,1725.0
-3959.37638685,1725.0
-3934.37638685,1525.0
-3909.37638685,1525.0
-3884.37638685,1600.0
-3859.37638685,1625.0
-3834.37638685,1500.0
-3809.37638685,1500.0
-3784.37638685,1500.0
-3759.37638685,1475.0
-3734.37638685,1475.0
-3709.37638685,1500.0
-3684.37638685,1516.82692308
-3659.37638685,1525.0
-3634.37638685,1500.0
-3609.37638685,1500.0
-3584.37638685,1475.0
-3559.37638685,1475.0
-3534.37638685,1475.0
-3509.37638685,1500.0
-3484.37638685,1500.0
-3459.37638685,1525.0
-3434.37638685,1525.0
-3409.37638685,1525.0
-3384.37638685,1525.0
-3359.37638685,1525.0
-3334.37638685,1525.0
-3309.37638685,1525.0
-3284.37638685,1525.0
-3259.37638685,1537.5
-3234.37638685,1550.0
-3209.37638685,1550.0
-3184.37638685,1525.0
-3159.37638685,1525.0
-3134.37638685,1550.0
-3109.37638685,1575.0
-3084.37638685,1575.0
-3059.37638685,1512.5
-3034.37638685,1450.0
-3009.37638685,1450.0
-2984.37638685,1575.0
-2959.37638685,1600.0
-2934.37638685,1638.3290267
-2909.37638685,1680.27562446
-2884.37638685,1700.0
-2859.37638685,1675.0
-2834.37638685,1425.0
-2809.37638685,1425.0
-2784.37638685,1425.0
-2759.37638685,1450.0
-2734.37638685,1475.0
-2709.37638685,1475.0
-2684.37638685,1412.5
-2659.37638685,1350.0
-2634.37638685,1350.0
-2609.37638685,1350.0
-2584.37638685,1350.0
-2559.37638685,1350.0
-2534.37638685,1350.0
-2509.37638685,1354.49074074
-2484.37638685,1366.59259259
-2459.37638685,1384.25
-2434.37638685,1405.40740741
-2409.37638685,1428.00925926
-2384.37638685,1450.0
-2359.37638685,1475.0
-2334.37638685,1475.0
-2309.37638685,1475.0
-2284.37638685,1475.0
-2259.37638685,1475.0
-2234.37638685,1475.0
-2209.37638685,1475.0
-2184.37638685,1475.0
-2159.37638685,1475.0
-2134.37638685,1475.0
-2109.37638685,1475.0
-2084.37638685,1475.0
-2059.37638685,1475.0
-2034.37638685,1475.0
-2009.37638685,1475.0
-1984.37638685,1450.0
-1959.37638685,1450.0
-1934.37638685,1425.0
-1909.37638685,1425.0
-1884.37638685,1425.0
-1859.37638685,1700.0
-1834.37638685,1700.0
-1809.37638685,1475.0
-1784.37638685,1475.0
-1759.37638685,1425.0
-1734.37638685,1375.0
-1709.37638685,1379.49074074
-1684.37638685,1391.59259259
-1659.37638685,1409.25
-1634.37638685,1430.40740741
-1609.37638685,1453.00925926
-1584.37638685,1475.0
-1559.37638685,1500.0
-1534.37638685,1500.0
-1509.37638685,1500.0
-1484.37638685,1475.0
-1459.37638685,1475.0
-1434.37638685,1475.0
-1409.37638685,1475.0
-1384.37638685,1475.0
-1359.37638685,1525.0
-1334.37638685,1625.0
-1309.37638685,1575.0
-1284.37638685,1525.0
-1259.37638685,1525.0
-1234.37638685,1531.48148148
-1209.37638685,1543.51851852
-1184.37638685,1550.0
-1159.37638685,1525.0
-1134.37638685,1450.0
-1109.37638685,1450.0
-1084.37638685,1450.0
-1059.37638685,1425.0
-1034.37638685,1450.0
-1009.37638685,1450.0
-984.376386847,1450.0
-959.376386847,1450.0
-934.376386847,1425.0
-909.376386847,1425.0
-884.376386847,1425.0
-859.376386847,1450.0
-834.376386847,1475.0
-809.376386847,1546.02272727
-784.376386847,1600.0
-759.376386847,1600.0
-734.376386847,1600.0
-709.376386847,1600.0
-684.376386847,1600.0
-659.376386847,1575.0
-634.376386847,1575.0
-609.376386847,1575.0
-584.376386847,1575.0
-559.376386847,1525.0
-534.376386847,1525.0
-509.376386847,1525.0
-484.376386847,1525.0
-459.376386847,1550.0
-434.376386847,1550.0
-409.376386847,1550.0
-384.376386847,1575.0
-359.376386847,1575.0
-334.376386847,1575.0
-309.376386847,1525.0
-284.376386847,1500.0
-259.376386847,1600.0
-234.376386847,1525.0
